URL Structures,,,,,,,
,,,,,,,
Page Name,Level,Page Type,Unit,New or Existing?,Current URL Structure,Recommended URL Structure,Redirect Type
mAb Process Optimization and Intensification,L5,Application,Group,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/mabs-development-manufacturing/process-optimization-intensification.html,https://www.thermofisher.com/us/en/home/bioprocessing/applications/mabs/process-optimization.html,301
Biopharma,L4,Who We Serve,Group,New,,https://www.thermofisher.com/us/en/home/bioprocessing/industries/biopharma.html,
Biotech,L4,Who We Serve,Group,Existing,home/c/b/bioprocessing-biotech,https://www.thermofisher.com/us/en/home/bioprocessing/industries/biotech.html,301
CDMO,L4,Who We Serve,Group,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/contract-development-manufacturing-solutions.html,https://www.thermofisher.com/us/en/home/bioprocessing/industries/contract-development-manufacturing.html,301
Korea BDC,L5,Why Choose Us?,Group,New,,https://www.thermofisher.com/us/en/home/bioprocessing/about/bioprocessing-design-center/korea.html,
Japan BDC,L5,Why Choose Us?,Group,New,,https://www.thermofisher.com/us/en/home/bioprocessing/about/bioprocessing-design-center/japan.html,
Singapore BDC,L5,Why Choose Us?,Group,New,,https://www.thermofisher.com/us/en/home/bioprocessing/about/bioprocessing-design-center/singapore.html,
India BDC,L5,Why Choose Us?,Group,New,,https://www.thermofisher.com/us/en/home/bioprocessing/about/bioprocessing-design-center/india.html,
US BDC,L5,Why Choose Us?,Group,New,,https://www.thermofisher.com/us/en/home/bioprocessing/about/bioprocessing-design-center/united-states.html,
ADC Bioprocessing Solutions,L4,Application,Group,New,,https://www.thermofisher.com/us/en/home/bioprocessing/applications/adcs.html,
